               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033391,            0.025813,           0.0058239,             0.92423,             0.56381,             0.64155,             0.40361,            0.033356,            0.017112,           0.0086226,            0.009307,            0.009307,            0.009307
                  37,            0.033115,            0.026582,           0.0056672,             0.89155,             0.54707,             0.64052,             0.38635,            0.033711,            0.017211,           0.0073895,           0.0092872,           0.0092872,           0.0092872
                  38,             0.03413,            0.027462,           0.0057358,             0.91256,              0.5516,             0.67232,              0.4227,            0.033641,             0.01774,           0.0077482,           0.0092674,           0.0092674,           0.0092674
                  39,            0.032827,            0.025618,           0.0055629,             0.92915,             0.56392,              0.6376,             0.39444,            0.034172,            0.017982,           0.0087273,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033208,            0.024188,           0.0058328,             0.58947,             0.69426,              0.6741,             0.39524,            0.034865,            0.017289,           0.0085487,           0.0092278,           0.0092278,           0.0092278
                  41,            0.032495,            0.024361,           0.0054302,             0.62492,             0.65544,             0.64182,             0.40413,            0.034622,            0.018478,            0.010071,            0.009208,            0.009208,            0.009208
                  42,            0.033204,            0.027598,           0.0058487,              0.5993,             0.64567,             0.64934,             0.40135,            0.032662,            0.017446,           0.0082632,           0.0091882,           0.0091882,           0.0091882
                  43,            0.031963,            0.024273,           0.0053467,             0.57221,             0.64329,             0.66504,             0.41117,            0.033093,            0.017661,           0.0082026,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033536,            0.027267,            0.005469,             0.78581,             0.60089,             0.65265,             0.41671,            0.033429,            0.017408,           0.0091227,           0.0091486,           0.0091486,           0.0091486
                  45,            0.031517,              0.0257,            0.005142,             0.61094,              0.6699,             0.69114,             0.44062,            0.032457,            0.017005,           0.0072584,           0.0091288,           0.0091288,           0.0091288
                  46,            0.032132,              0.0258,           0.0049126,             0.60583,             0.63791,             0.66722,             0.42685,            0.032439,            0.017296,            0.009593,            0.009109,            0.009109,            0.009109
                  47,            0.032021,            0.024591,           0.0055173,             0.70635,             0.60394,             0.66258,             0.41382,             0.03417,            0.017433,            0.011013,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031219,            0.024749,           0.0047711,             0.86673,             0.64792,             0.73172,             0.46436,            0.032353,            0.017035,           0.0084892,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031553,            0.025546,           0.0049122,             0.63977,             0.68054,             0.73085,             0.46525,            0.032346,             0.01733,           0.0082174,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030635,            0.025608,           0.0046903,             0.80436,             0.67467,             0.74867,              0.4774,            0.031708,            0.018877,           0.0082151,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031328,             0.02526,            0.004645,             0.79505,             0.65152,              0.7021,             0.43206,            0.034695,             0.01893,           0.0085997,             0.00901,             0.00901,             0.00901
                  52,            0.031168,            0.025429,           0.0046238,              0.7702,             0.69869,             0.75155,             0.45967,            0.032746,            0.017572,           0.0084898,           0.0089902,           0.0089902,           0.0089902
                  53,            0.030602,            0.025686,           0.0046195,             0.77293,             0.66621,             0.72191,              0.4511,            0.032977,            0.018211,           0.0093264,           0.0089704,           0.0089704,           0.0089704
